chr	pos	seqbin	stdrate
chr1	6000669	1	  0.797296
chr1	6010669	1	  2.160694
chr1	6020669	1	  1.562406
chr1	6030669	1	  0.000014
chr1	6040669	1	  3.466929
chr1	6050669	1	  5.865215
chr1	6060669	1	  5.968401
chr1	6070669	1	  5.319290
chr1	6080669	1	  3.590860
chr1	6090669	1	  2.610914
chr1	6100669	1	  0.000000
chr1	6110669	1	  0.000000
chr1	6120669	1	  0.569326
chr1	6130669	1	  8.000843
chr1	6140669	1	  7.258534
chr1	6150669	1	  0.000031
chr1	6160669	1	  0.181576
chr1	6170669	1	  0.995770
chr1	6180669	1	  7.037522
chr1	6190669	1	  1.137678
chr1	6200669	1	  0.943704
chr1	6210669	1	  0.000001
chr1	6220669	1	  0.000005
chr1	6230669	1	  0.000002
chr1	6240669	1	  0.177294
chr1	6250669	1	  9.948300
chr1	6260669	1	  4.986162
chr1	6270669	1	  1.023160
chr1	6280669	1	  0.000000
chr1	6290669	1	  0.132696
chr1	6300669	1	  0.226327
chr1	6310669	1	  0.226327
chr1	6320669	1	  0.104615
chr1	6330669	1	  0.001284
chr1	6340669	1	  0.001284
chr1	6350669	1	  0.001284
chr1	6360669	1	  0.001284
chr1	6370669	1	  0.001284
chr1	6380669	1	  0.001342
chr1	6390669	1	  0.001654
chr1	6400669	1	  0.009382
chr1	6410669	1	  0.050724
chr1	6420669	1	  3.458064
chr1	6430669	1	  3.974875
chr1	6440669	1	  2.874864
chr1	6450669	1	  4.098548
chr1	6460669	1	  2.202261
chr1	6470669	1	  2.275946
chr1	6480669	1	  2.914906
chr1	6490669	1	  0.750443
chr1	6500669	1	  3.426016
chr1	6510669	1	  0.932561
chr1	6520669	1	  0.000000
chr1	6530669	1	  0.000000
chr1	6540669	1	  0.000000
chr1	6550669	1	  0.000000
chr1	6560669	1	  1.249193
chr1	6570669	1	  2.749545
chr1	6580669	1	  0.000000
chr1	6590669	1	  0.000000
chr1	6600669	1	  0.000000
chr1	6610669	1	  0.000000
chr1	6620669	1	  0.000000
chr1	6630669	1	  0.000000
chr1	6640669	1	  0.033085
chr1	6650669	1	  0.043012
chr1	6660669	1	  0.049608
chr1	6670669	1	  0.062947
chr1	6680669	1	  0.315200
chr1	6690669	1	  0.377137
chr1	6700669	1	  0.000000
chr1	6710669	1	  0.000000
chr1	6720669	1	  2.054083
chr1	6730669	1	  0.000000
chr1	6740669	1	  0.000000
chr1	6750669	1	  0.033015
chr1	6760669	1	  0.284732
chr1	6770669	1	  0.137177
chr1	6780669	1	  0.074999
chr1	6790669	1	  0.074999
chr1	6800669	1	  0.006375
chr1	6810669	1	  0.000000
chr1	6820669	1	  0.000000
chr1	6830669	1	  0.000000
chr1	6840669	1	  0.000000
chr1	6850669	1	  0.000000
chr1	6860669	1	  0.000000
chr1	6870669	1	  0.000000
chr1	6880669	1	  0.000000
chr1	6890669	1	  0.000192
chr1	6900669	1	  1.995466
chr1	6910669	1	  0.152494
chr1	6920669	1	  1.317846
chr1	6930669	1	  1.317846
chr1	6940669	1	  1.307389
chr1	6950669	1	  1.492598
chr1	6960669	1	  0.613315
chr1	6970669	1	  0.453626
chr1	6980669	1	  0.182937
chr1	6990669	1	  0.000000
chr1	7000669	1	  0.000000
chr1	7010669	1	  0.000000
chr1	7020669	1	  0.115106
chr1	7030669	1	  0.031592
chr1	7040669	1	  0.000018
chr1	7050669	1	  6.899958
chr1	7060669	1	  0.000000
chr1	7070669	1	  0.000000
chr1	7080669	1	  0.000000
chr1	7090669	1	 10.309181
chr1	7100669	1	  1.385120
chr1	7110669	1	  0.077215
chr1	7120669	1	  0.560489
chr1	7130669	1	  0.000000
chr1	7140669	1	  0.106089
chr1	7150669	1	  0.502316
chr1	7160669	1	  0.187263
chr1	7170669	1	 11.374897
chr1	7180669	1	 15.344526
chr1	7190669	1	 14.099887
chr1	7200669	1	  0.384921
chr1	7210669	1	  0.384921
chr1	7220669	1	  0.384921
chr1	7230669	1	  0.704631
chr1	7240669	1	  4.082576
chr1	7250669	1	  0.983334
chr1	7260669	1	  2.180630
chr1	7270669	1	  0.000000
chr1	7280669	1	  0.000000
chr1	7290669	1	  3.445721
chr1	7300669	1	  0.767283
chr1	7310669	1	  0.000000
chr1	7320669	1	  0.000000
chr1	7330669	1	  0.312185
chr1	7340669	1	  0.441438
chr1	7350669	1	  0.322780
chr1	7360669	1	  0.000000
chr1	7370669	1	  0.000000
chr1	7380669	1	  0.000000
chr1	7390669	1	  1.958270
chr1	7400669	1	  0.013945
chr1	7410669	1	 18.191672
chr1	7420669	1	  0.630856
chr1	7430669	1	 17.180533
chr1	7440669	1	  2.541359
chr1	7450669	1	  0.668750
chr1	7460669	1	  2.417668
chr1	7470669	1	  2.288126
chr1	7480669	1	  0.000000
chr1	7490669	1	  2.067062
chr1	7500669	1	  2.007298
chr1	7510669	1	  0.560183
chr1	7520669	1	  9.849160
chr1	7530669	1	 29.294144
chr1	7540669	1	 10.567254
chr1	7550669	1	  0.000000
chr1	7560669	1	  0.000205
chr1	7570669	1	  0.154423
chr1	7580669	1	  0.457258
chr1	7590669	1	  0.240701
